Crimes and Clearances by Offense Type,,,,,
Current date: 12/3/2011 6:01:00 PM (Central Standard Time),,,,,
,Measures,Number of Crimes,Estimated Population,"Crime Rate (per 1,000)",
,Offense Type,Drug/Narcotic Violations,Drug/Narcotic Violations,Drug/Narcotic Violations,
Jurisdiction,Incident Date,,,,
,2005,148,"16,265",9.1,
,2006,145,"16,139",8.98,
,2007,116,"16,152",7.18,
,2008,118,"16,193",7.29,
,2009,82,"16,025",5.12,
,2010,78,"16,489",4.73,
Carroll,2001,99,"29,512",3.35,
,2002,147,"29,215",5.03,
,2003,217,"29,205",7.43,
,2004,230,"29,099",7.9,
,2005,223,"28,695",7.77,
,2006,161,"28,775",5.6,
,2007,169,"28,783",5.87,
,2008,137,"28,719",4.77,
,2009,164,"28,517",5.75,
,2010,171,"28,522",6,
Chester,2001,43,"15,845",2.71,
,2002,76,"15,857",4.79,
,2003,64,"15,549",4.12,
,2004,68,"15,793",4.31,
,2005,59,"15,879",3.72,
,2006,65,"15,978",4.07,
,2007,107,"16,078",6.66,
,2008,56,"16,309",3.43,
,2009,35,"16,312",2.15,
,2010,67,"17,131",3.91,
Crockett,2001,30,"14,536",2.06,
,2002,37,"14,462",2.56,
,2003,35,"14,318",2.44,
,2004,37,"14,372",2.57,
,2005,23,"14,354",1.6,
,2006,25,"14,333",1.74,
,2007,17,"14,403",1.18,
,2008,11,"14,186",0.78,
,2009,20,"14,492",1.38,
,2010,26,"14,586",1.78,
Decatur,2001,20,"11,671",1.71,
,2002,31,"11,604",2.67,
,2003,54,"11,503",4.69,
,2004,45,"11,523",3.91,
,2005,21,"11,428",1.84,
,2006,26,"11,364",2.29,
,2007,26,"11,505",2.26,
,2008,28,"11,288",2.48,
,2009,43,"11,525",3.73,
,2010,17,"11,757",1.45,
Dickson,2001,192,"43,866",4.38,
,2002,142,"44,344",3.2,
,2003,178,"44,849",3.97,
,2004,205,"45,211",4.53,
,2005,203,"45,705",4.44,
,2006,159,"46,439",3.42,
,2007,130,"47,411",2.74,
,2008,126,"47,884",2.63,
,2009,113,"48,230",2.34,
,2010,127,"49,666",2.56,
Dyer,2001,93,"37,108",2.51,
,2002,287,"37,068",7.74,
,2003,314,"37,161",8.45,
,2004,284,"37,291",7.62,
,2005,267,"37,586",7.1,
,2006,325,"37,689",8.62,
,2007,455,"37,680",12.08,
,2008,295,"37,600",7.85,
,2009,415,"37,811",10.98,
,2010,377,"38,335",9.83,
Fayette,2001,131,"30,191",4.34,
,2002,113,"31,016",3.64,
,2003,151,"32,023",4.72,
,2004,175,"33,137",5.28,
