"Total Arrestees by Weapon Type"
"Current date: 11/21/2011 3:00:46 PM (Central Standard Time)"
,"Measures","Number of Arrestees","Number of Incidents","Estimated Population","Arrestee Rate (per 1,000)",
,"Arrestee Armed With","Firearm","Firearm","Firearm","Firearm",
"Jurisdiction","Arrest Date"
,"2007","4","4","18588","0.22"
,"2008","6","6","18694","0.32"
,"2009","2","2","18954","0.11"
,"2010","","","18723",""
"Franklin","2001","20","16","39628","0.50"
,"2002","6","6","39964","0.15"
,"2003","16","14","40143","0.40"
,"2004","14","12","40354","0.35"
,"2005","13","13","40529","0.32"
,"2006","10","10","40888","0.24"
,"2007","16","16","41190","0.39"
,"2008","22","21","41165","0.53"
,"2009","25","25","41310","0.61"
,"2010","18","16","41052","0.44"
"Giles","2001","20","20","29559","0.68"
,"2002","6","6","29365","0.20"
,"2003","21","20","29126","0.72"
,"2004","24","24","29048","0.83"
,"2005","26","25","29054","0.89"
,"2006","26","26","29054","0.89"
,"2007","23","23","29011","0.79"
,"2008","17","17","29184","0.58"
,"2009","10","8","29082","0.34"
,"2010","11","11","29485","0.37"
"Grundy","2001","5","5","14220","0.35"
,"2002","6","6","14256","0.42"
,"2003","4","4","14228","0.28"
,"2004","11","10","14310","0.77"
,"2005","4","4","14330","0.28"
,"2006","4","4","14295","0.28"
,"2007","8","7","14311","0.56"
,"2008","7","6","14220","0.49"
,"2009","5","5","14130","0.35"
,"2010","2","2","13703","0.15"
"Jackson","2001","","","11116",""
,"2002","","","11092",""
,"2003","14","14","11079","1.26"
,"2004","7","7","11069","0.63"
,"2005","4","4","10979","0.36"
,"2006","2","2","10841","0.18"
,"2007","60","60","10850","5.53"
,"2008","68","66","10847","6.27"
,"2009","6","6","10875","0.55"
,"2010","3","3","11638","0.26"
"Lincoln","2001","27","26","31564","0.86"
,"2002","22","20","31616","0.70"
,"2003","18","16","31746","0.57"
,"2004","20","20","31765","0.63"
,"2005","20","19","32121","0.62"
,"2006","9","9","32434","0.28"
,"2007","17","16","32733","0.52"
,"2008","20","18","33116","0.60"
,"2009","14","14","33374","0.42"
,"2010","14","10","33361","0.42"
"Macon","2001","21","19","20811","1.01"
,"2002","9","9","20771","0.43"
,"2003","9","7","20897","0.43"
,"2004","9","8","21131","0.43"
,"2005","9","9","21236","0.42"
,"2006","5","5","21544","0.23"
,"2007","3","3","21695","0.14"
,"2008","9","9","21838","0.41"
,"2009","12","11","22057","0.54"
,"2010","6","6","22248","0.27"
"Marion","2001","20","19","27822","0.72"
,"2002","27","27","27806","0.97"
,"2003","15","14","27930","0.54"
,"2004","11","11","27737","0.40"
,"2005","13","13","27699","0.47"
